"drugFix1" "drugFix2" "drugFix3" "drugFix4" "drugFix5" "drugFix6" "drugFix7" "alcConsq1" "alcConsq2" "alcConsq3" "alcConsq4" "alcConsq5" "alcConsq6" "alcConsq7" "alcFix1" "alcFix2" "alcFix3" "alcFix4" "alcFix5" "alcFix6" "alcFix7" "alcFix8" "alcFix9" "alcFix10" "aidFix1" "aidFix2" "aidFix3" "aidFix4" "aidFix5"
"100" 1 2 7 3 4 5 6 4 2 1 5 6 7 3 NA NA 2 NA 3 NA NA 1 4 5 2 3 5 4 1
"101" 6 1 5 2 4 3 7 1 3 4 6 5 7 2 5 NA 1 2 NA 3 NA 4 NA NA 1 4 5 2 3
"102" 4 1 5 2 6 7 3 3 4 1 6 5 7 2 5 1 2 NA NA NA NA 3 NA 4 3 4 5 1 2
"103" 6 5 7 2 1 3 4 3 2 1 5 6 7 4 5 NA 4 NA NA NA NA 2 3 1 1 2 5 3 4
"104" 5 1 2 3 7 6 4 2 4 1 7 5 6 3 3 NA NA NA NA 1 NA 2 5 4 4 3 5 1 2
"105" 2 1 6 5 7 3 4 1 3 5 4 7 6 2 3 2 5 NA 1 4 NA NA NA NA 3 5 4 2 1
"106" 7 1 2 6 4 5 3 5 6 2 7 1 4 3 1 NA 5 2 3 NA NA 4 NA NA 4 5 2 1 3
"107" 4 6 7 2 1 3 5 4 2 6 5 7 1 3 NA 5 1 NA 2 NA NA 3 NA 4 4 2 5 1 3
"108" 1 2 4 3 6 5 7 2 1 3 4 7 6 5 1 4 3 NA 2 NA NA 5 NA NA 1 4 5 3 2
"109" 6 2 3 7 5 4 1 4 3 5 6 2 7 1 4 NA NA 5 1 NA NA 2 NA 3 3 4 5 1 2
"110" 2 7 6 1 3 4 5 3 6 2 4 7 5 1 5 NA NA NA 2 NA NA 3 4 1 3 4 5 1 2
"111" 2 5 6 3 4 1 7 1 2 4 5 6 7 3 3 NA 4 NA 5 NA NA 1 NA 2 1 4 5 2 3
"112" 3 4 7 2 6 5 1 2 1 6 5 7 4 3 3 4 5 NA NA NA NA NA 1 2 2 3 5 4 1
"113" 4 1 7 2 3 6 5 2 3 1 5 6 7 4 4 NA NA 5 2 3 NA NA NA 1 2 4 5 3 1
"114" 6 1 7 2 3 4 5 1 5 2 6 3 7 4 1 4 5 NA 2 NA NA 3 NA NA 3 5 4 1 2
"115" 4 2 5 1 6 3 7 1 5 2 3 6 7 4 1 4 5 NA 3 NA NA 2 NA NA 3 4 5 2 1
"116" 7 1 2 5 3 4 6 1 2 3 6 4 7 5 NA NA 3 2 1 NA NA NA 4 5 2 3 5 4 1
"117" 1 2 5 4 3 7 6 3 4 1 5 6 7 2 1 NA NA NA 4 NA NA 3 5 2 2 4 5 3 1
"118" 1 2 5 3 NA 4 NA 2 1 4 5 7 6 3 2 NA NA 3 4 NA NA 1 NA 5 1 5 4 2 3
"119" 3 1 7 2 5 4 6 1 4 2 5 6 7 3 NA 1 5 3 2 4 NA NA NA NA 3 4 5 1 2
"120" 1 6 5 2 4 7 3 4 6 1 3 2 7 5 1 5 2 NA NA 3 NA 4 NA NA 1 4 5 2 3
"121" 1 4 7 5 6 2 3 2 3 1 5 4 6 7 1 NA NA 2 3 NA NA 4 NA 5 1 4 NA 2 3
"122" 1 2 4 5 7 3 6 1 2 3 6 4 7 5 1 4 2 NA 3 NA NA 5 NA NA 2 4 5 3 1
"123" 1 3 7 2 4 6 5 1 6 5 4 3 7 2 NA NA 1 2 3 NA NA 4 5 NA 5 3 4 1 2
"124" 4 3 1 2 5 6 7 3 4 2 6 1 7 5 4 5 NA NA 1 NA NA 2 NA 3 3 4 5 1 2
"125" 1 2 3 4 5 6 7 3 4 2 5 1 6 7 5 1 2 NA 3 NA NA NA NA 4 4 1 2 3 5
"126" 3 1 4 6 5 2 7 5 6 1 2 3 7 4 3 NA 2 NA 1 NA NA 5 4 NA 4 5 2 1 3
"127" 7 1 2 5 6 3 4 5 1 3 6 7 4 2 4 3 NA NA 1 2 NA NA 5 NA 4 5 3 1 2
"128" 4 7 6 1 2 3 5 2 3 4 6 5 7 1 NA NA NA 5 4 NA NA 3 2 1 3 4 5 2 1
"129" 7 2 1 3 4 6 5 3 6 1 7 5 4 2 NA 5 3 2 1 NA NA NA 4 NA 4 5 3 2 1
"130" 4 3 2 5 1 6 7 1 2 3 6 7 4 5 3 1 4 NA NA NA NA 2 NA 5 5 1 2 3 4
"131" 4 1 2 6 3 5 7 4 2 1 3 5 7 6 3 5 NA NA 4 NA NA 1 2 NA 1 4 2 3 5
"132" 4 1 7 2 6 3 5 3 2 4 1 6 5 7 5 4 3 NA 1 2 NA NA NA NA 1 5 3 4 2
"133" 2 1 7 6 3 4 5 1 2 5 4 6 7 3 4 5 NA 3 NA NA NA NA 2 1 3 4 5 1 2
"134" 2 1 5 4 3 6 7 1 2 3 5 7 4 6 2 NA 3 4 5 NA NA NA NA 1 2 4 5 1 3
"135" 7 2 3 1 4 5 6 1 2 5 4 6 7 3 NA 1 4 3 2 NA NA 5 NA NA 4 3 2 1 5
"136" 4 2 6 3 5 1 7 3 2 1 4 6 7 5 5 NA NA NA 1 4 NA 3 NA 2 4 1 5 3 2
"137" 4 6 7 2 1 5 3 3 6 4 1 7 5 2 5 NA NA 1 4 NA NA 2 NA 3 4 2 5 1 3
"138" 2 3 7 5 1 4 6 2 5 1 3 4 6 7 4 NA NA NA 5 NA NA 1 2 3 3 4 5 1 2
"139" 6 1 7 5 4 2 3 1 2 4 5 7 6 3 1 2 NA 3 NA NA NA 4 5 NA 2 4 5 3 1
"140" 1 6 7 2 4 3 5 1 3 4 5 6 7 2 5 4 NA NA NA NA NA 3 2 1 2 4 5 3 1
"141" 5 7 6 3 2 4 1 1 5 2 3 6 7 4 3 4 NA NA NA NA NA 5 1 2 3 5 4 2 1
"142" 3 6 7 1 5 2 4 2 6 5 4 3 7 1 NA NA NA NA 5 4 NA 1 2 3 3 4 5 2 1
"143" 4 3 7 1 2 5 6 1 2 3 7 4 5 6 5 NA 1 2 3 NA NA NA 4 NA 3 4 5 1 2
"144" 4 5 2 1 6 3 7 2 3 7 6 4 5 1 4 5 NA NA 1 2 NA NA NA 3 4 1 2 3 5
"145" 1 2 5 7 6 3 4 2 3 5 4 6 7 1 NA NA 5 1 NA NA 2 3 NA 4 NA NA NA 2 1
"146" 5 6 7 1 4 2 3 4 3 1 5 7 6 2 5 3 2 4 NA NA NA 1 NA NA 1 5 4 3 2
"147" NA 1 NA 2 NA 3 NA 1 4 2 5 6 7 3 NA 1 2 NA NA NA NA NA NA NA 3 2 NA 4 1
"148" 3 4 7 2 6 1 5 4 2 1 7 6 3 5 5 NA NA NA 4 NA NA 3 1 2 3 4 5 2 1
